Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-07-01 00:00:00	2416.493	2476.52	2352	2370	24.81	60078.86	2421.81
2017-07-02 00:00:00	2369.999	2438.818	2328.756	2422.56	21.37	50985.92	2385.83
2017-07-03 00:00:00	2422.56	2549.819	2398.44	2476.25	29.58	73474.57	2483.74
2017-07-04 00:00:00	2476.25	2549.999	2476.248	2516.575	45	113361.42	2518.9
2017-07-05 00:00:00	2503.879	2533.425	2460.001	2505.22	33.05	82654.06	2501.08
2017-07-06 00:00:00	2506.01	2543.988	2502.001	2539.399	27.35	69082.39	2525.88
2017-07-07 00:00:00	2539.399	2545.892	2421.101	2484.899	34.6	85841.06	2480.64
2017-07-08 00:00:00	2484.899	2528	2400	2508.2	24.42	60687.73	2485.3
2017-07-09 00:00:00	2508.2	2529.899	2470	2470	14.97	37430.65	2500.68
2017-07-10 00:00:00	2470	2499.947	2285.192	2338	54.77	131389.38	2398.82
2017-07-11 00:00:00	2338	2380.665	2249.492	2294.652	63.4	147425.73	2325.27
2017-07-12 00:00:00	2292.629	2374.493	2240.014	2338.024	45.87	106131.37	2313.53
2017-07-13 00:00:00	2338.024	2374.999	2240.014	2296.994	34.89	81174.23	2326.79
2017-07-14 00:00:00	2296.994	2319.02	2109	2175.125	56.06	123860.8	2209.46
2017-07-15 00:00:00	2171	2175.998	1975	1975	50.32	102697.18	2040.96
2017-07-16 00:00:00	1975	2031.664	1812.001	1903.173	84.84	162394.22	1914.02
2017-07-17 00:00:00	1903.173	2170.748	1895	2155.999	69.72	142947.79	2050.34
2017-07-18 00:00:00	2150.11	2292.852	2110	2235.6	73.02	162136.36	2220.36
2017-07-19 00:00:00	2235.189	2314.997	2190.102	2235.001	51.07	115408.55	2259.61
2017-07-20 00:00:00	2235.001	2741.53	2235.001	2700	107.07	266002.17	2484.31
2017-07-21 00:00:00	2700	2727.85	2528.39	2574.002	60.59	157343.27	2597.04
2017-07-22 00:00:00	2574.002	2739.499	2574.002	2680	40.25	107410.84	2668.34
2017-07-23 00:00:00	2680	2699.01	2550	2613.998	33.93	89034.56	2623.88
2017-07-24 00:00:00	2613.998	2675.064	2598.699	2661.716	31.51	83235.18	2641.43
2017-07-25 00:00:00	2661.716	2688.888	2430	2470.4	112.26	285692.94	2544.99
2017-07-26 00:00:00	2470.4	2560	2408	2514.5	104.32	259298.19	2485.63
